"Site Time - INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average","INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average Amps","Site Time - INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average","INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average Amps","Site Time - INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average","INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average Amps","Site Time - INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average","INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average Amps","Site Time - INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average","INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current Average Amps","Site Time - Acuvim II - Prod Meter, Amps A","Acuvim II - Prod Meter, Amps A Amps","Site Time - Acuvim II - Prod Meter, Amps B","Acuvim II - Prod Meter, Amps B Amps","Site Time - Acuvim II - Prod Meter, Amps C","Acuvim II - Prod Meter, Amps C Amps","Site Time - INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current A","INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current A Amps","Site Time - INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current B","INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current B Amps","Site Time - INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current C","INV-1 (60KW) CPS SCA60KTL-DO/US-480, AC Current C Amps","Site Time - INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current A","INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current A Amps","Site Time - INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current B","INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current B Amps","Site Time - INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current C","INV-2 (60KW) CPS SCA60KTL-DO/US-480, AC Current C Amps","Site Time - INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current A","INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current A Amps","Site Time - INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current B","INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current B Amps","Site Time - INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current C","INV-3 (60KW) CPS SCA60KTL-DO/US-480, AC Current C Amps","Site Time - INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current A","INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current A Amps","Site Time - INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current B","INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current B Amps","Site Time - INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current C","INV-4 (60KW) CPS SCA60KTL-DO/US-480, AC Current C Amps","Site Time - INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current A","INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current A Amps","Site Time - INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current B","INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current B Amps","Site Time - INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current C","INV-5 (60KW) CPS SCA60KTL-DO/US-480, AC Current C Amps"
2026-04-05 06:24:36,0,2026-04-05 06:27:57,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:59,0,2026-04-05 00:01:15,1.779,2026-04-05 00:01:15,1.818,2026-04-05 00:01:15,1.752,2026-04-05 06:24:36,0,2026-04-05 06:24:36,0,2026-04-05 06:24:36,0,2026-04-05 06:27:57,0,2026-04-05 06:27:57,0,2026-04-05 06:27:57,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:58,0,2026-04-05 06:27:59,0,2026-04-05 06:27:59,0,2026-04-05 06:27:59,0
2026-04-05 06:27:56,0,2026-04-05 06:31:17,2.1,2026-04-05 06:31:18,2.1,2026-04-05 06:31:18,2.033,2026-04-05 06:31:19,2,2026-04-05 00:04:35,1.776,2026-04-05 00:04:35,1.819,2026-04-05 00:04:35,1.754,2026-04-05 06:27:56,0,2026-04-05 06:27:56,0,2026-04-05 06:27:56,0,2026-04-05 06:31:17,1.8,2026-04-05 06:31:17,2.5,2026-04-05 06:31:17,2,2026-04-05 06:31:18,1.8,2026-04-05 06:31:18,2.4,2026-04-05 06:31:18,2.1,2026-04-05 06:31:18,1.8,2026-04-05 06:31:18,2.3,2026-04-05 06:31:18,2,2026-04-05 06:31:19,1.7,2026-04-05 06:31:19,2.4,2026-04-05 06:31:19,1.9
2026-04-05 06:31:16,2.4,2026-04-05 06:34:37,2.133,2026-04-05 06:34:38,2.1,2026-04-05 06:34:38,2.067,2026-04-05 06:34:39,2.033,2026-04-05 00:07:59,1.781,2026-04-05 00:07:59,1.813,2026-04-05 00:07:59,1.747,2026-04-05 06:31:16,2.2,2026-04-05 06:31:16,2.6,2026-04-05 06:31:16,2.4,2026-04-05 06:34:37,1.8,2026-04-05 06:34:37,2.5,2026-04-05 06:34:37,2.1,2026-04-05 06:34:38,1.8,2026-04-05 06:34:38,2.4,2026-04-05 06:34:38,2.1,2026-04-05 06:34:38,1.8,2026-04-05 06:34:38,2.4,2026-04-05 06:34:38,2,2026-04-05 06:34:39,1.7,2026-04-05 06:34:39,2.4,2026-04-05 06:34:39,2
2026-04-05 06:34:36,2.333,2026-04-05 06:37:57,2.167,2026-04-05 06:37:58,2.133,2026-04-05 06:37:58,2,2026-04-05 06:37:59,2,2026-04-05 00:11:15,1.774,2026-04-05 00:11:15,1.802,2026-04-05 00:11:15,1.743,2026-04-05 06:34:36,2.1,2026-04-05 06:34:36,2.6,2026-04-05 06:34:36,2.3,2026-04-05 06:37:57,1.9,2026-04-05 06:37:57,2.4,2026-04-05 06:37:57,2.2,2026-04-05 06:37:58,1.9,2026-04-05 06:37:58,2.4,2026-04-05 06:37:58,2.1,2026-04-05 06:37:58,1.7,2026-04-05 06:37:58,2.3,2026-04-05 06:37:58,2,2026-04-05 06:37:59,1.7,2026-04-05 06:37:59,2.3,2026-04-05 06:37:59,2
2026-04-05 06:37:57,2.367,2026-04-05 06:41:17,2.233,2026-04-05 06:41:18,2.133,2026-04-05 06:41:18,2.067,2026-04-05 06:41:19,2.1,2026-04-05 00:14:35,1.77,2026-04-05 00:14:35,1.802,2026-04-05 00:14:35,1.749,2026-04-05 06:37:57,2.1,2026-04-05 06:37:57,2.6,2026-04-05 06:37:57,2.4,2026-04-05 06:41:17,2,2026-04-05 06:41:17,2.5,2026-04-05 06:41:17,2.2,2026-04-05 06:41:18,1.9,2026-04-05 06:41:18,2.4,2026-04-05 06:41:18,2.1,2026-04-05 06:41:18,1.8,2026-04-05 06:41:18,2.3,2026-04-05 06:41:18,2.1,2026-04-05 06:41:19,1.8,2026-04-05 06:41:19,2.4,2026-04-05 06:41:19,2.1
2026-04-05 06:41:17,2.433,2026-04-05 06:44:37,2.333,2026-04-05 06:44:38,2.3,2026-04-05 06:44:38,2.167,2026-04-05 06:44:39,2.2,2026-04-05 00:17:55,1.768,2026-04-05 00:17:55,1.81,2026-04-05 00:17:55,1.744,2026-04-05 06:41:17,2.2,2026-04-05 06:41:17,2.6,2026-04-05 06:41:17,2.5,2026-04-05 06:44:37,2.2,2026-04-05 06:44:37,2.6,2026-04-05 06:44:37,2.2,2026-04-05 06:44:38,2.1,2026-04-05 06:44:38,2.6,2026-04-05 06:44:38,2.2,2026-04-05 06:44:38,1.9,2026-04-05 06:44:38,2.4,2026-04-05 06:44:38,2.2,2026-04-05 06:44:39,2,2026-04-05 06:44:39,2.5,2026-04-05 06:44:39,2.1
2026-04-05 06:44:37,2.567,2026-04-05 06:47:57,2.567,2026-04-05 06:47:58,2.533,2026-04-05 06:47:58,2.3,2026-04-05 06:47:59,2.4,2026-04-05 00:21:16,1.762,2026-04-05 00:21:16,1.802,2026-04-05 00:21:16,1.733,2026-04-05 06:44:37,2.4,2026-04-05 06:44:37,2.8,2026-04-05 06:44:37,2.5,2026-04-05 06:47:57,2.4,2026-04-05 06:47:57,2.9,2026-04-05 06:47:57,2.4,2026-04-05 06:47:58,2.4,2026-04-05 06:47:58,2.8,2026-04-05 06:47:58,2.4,2026-04-05 06:47:58,2.1,2026-04-05 06:47:58,2.5,2026-04-05 06:47:58,2.3,2026-04-05 06:47:59,2.2,2026-04-05 06:47:59,2.7,2026-04-05 06:47:59,2.3
2026-04-05 06:47:56,2.867,2026-04-05 06:51:17,2.767,2026-04-05 06:51:18,2.633,2026-04-05 06:51:18,2.467,2026-04-05 06:51:19,2.5,2026-04-05 00:24:36,1.769,2026-04-05 00:24:36,1.801,2026-04-05 00:24:36,1.739,2026-04-05 06:47:56,2.7,2026-04-05 06:47:56,3.2,2026-04-05 06:47:56,2.7,2026-04-05 06:51:17,2.6,2026-04-05 06:51:17,3.1,2026-04-05 06:51:17,2.6,2026-04-05 06:51:18,2.5,2026-04-05 06:51:18,3,2026-04-05 06:51:18,2.4,2026-04-05 06:51:18,2.3,2026-04-05 06:51:18,2.7,2026-04-05 06:51:18,2.4,2026-04-05 06:51:19,2.3,2026-04-05 06:51:19,2.9,2026-04-05 06:51:19,2.3
2026-04-05 06:51:16,3.133,2026-04-05 06:54:37,3.1,2026-04-05 06:54:38,3.1,2026-04-05 06:54:38,2.633,2026-04-05 06:54:39,2.867,2026-04-05 00:27:55,1.768,2026-04-05 00:27:55,1.811,2026-04-05 00:27:55,1.734,2026-04-05 06:51:16,2.9,2026-04-05 06:51:16,3.5,2026-04-05 06:51:16,3,2026-04-05 06:54:37,3,2026-04-05 06:54:37,3.4,2026-04-05 06:54:37,2.9,2026-04-05 06:54:38,3,2026-04-05 06:54:38,3.4,2026-04-05 06:54:38,2.9,2026-04-05 06:54:38,2.5,2026-04-05 06:54:38,2.8,2026-04-05 06:54:38,2.6,2026-04-05 06:54:39,2.7,2026-04-05 06:54:39,3.2,2026-04-05 06:54:39,2.7
2026-04-05 06:54:37,3.433,2026-04-05 06:57:57,3.467,2026-04-05 06:57:58,3.5,2026-04-05 06:57:58,2.967,2026-04-05 06:57:59,3.3,2026-04-05 00:31:15,1.766,2026-04-05 00:31:15,1.804,2026-04-05 00:31:15,1.734,2026-04-05 06:54:37,3.2,2026-04-05 06:54:37,3.9,2026-04-05 06:54:37,3.2,2026-04-05 06:57:57,3.3,2026-04-05 06:57:57,3.8,2026-04-05 06:57:57,3.3,2026-04-05 06:57:58,3.3,2026-04-05 06:57:58,3.9,2026-04-05 06:57:58,3.3,2026-04-05 06:57:58,2.8,2026-04-05 06:57:58,3.2,2026-04-05 06:57:58,2.9,2026-04-05 06:57:59,3.1,2026-04-05 06:57:59,3.7,2026-04-05 06:57:59,3.1
